algorithm,dataset,eps,min_samples
dbscan,2d10c,0.025,5.0
dbscan,2d20c,0.025,1.0
dbscan,2d4c,0.05,15.0
dbscan,3spiral,0.05,1.0
dbscan,aggregation,0.05,10.0
dbscan,compound,0.1,1.0
dbscan,D1,0.05,15.0
dbscan,D2,0.05,10.0
dbscan,D3,0.05,5.0
dbscan,D4,0.1,1.0
dbscan,D5,0.1,1.0
dbscan,ecoli,0.2,10.0
dbscan,elly2d10c13s,0.01,1.0
dbscan,glass,0.3,10.0
dbscan,ionosphere,0.05,1.0
dbscan,s1,0.025,10.0
dbscan,s2,0.025,10.0
dbscan,sonar,0.4,1.0
dbscan,statlog,0.15,1.0
dbscan,unbalance,0.05,1.0
dbscan,wdbc,0.4,15.0
dbscan,wine,0.4,3.0
dbscan,yeast,0.025,1.0
