algorithm,dataset,max_iter,bandwidth,bin_seeding
meanshift,2d10c,300.0,0.1,True
meanshift,2d20c,300.0,0.07913944,True
meanshift,2d4c,300.0,0.153630627,True
meanshift,3spiral,300.0,0.102052247,True
meanshift,aggregation,300.0,0.153630627,True
meanshift,compound,300.0,0.2,False
meanshift,D1,300.0,,True
meanshift,D2,300.0,0.110712654,True
meanshift,D3,300.0,0.2,True
meanshift,D4,300.0,0.3,True
meanshift,D5,300.0,0.153630627,True
meanshift,ecoli,300.0,0.312833853,True
meanshift,elly2d10c13s,300.0,0.110712654,False
meanshift,glass,300.0,0.312833853,False
meanshift,ionosphere,300.0,0.564705003,False
meanshift,s1,300.0,0.087373317,True
meanshift,s2,300.0,0.087373317,True
meanshift,sonar,300.0,0.564705003,True
meanshift,statlog,300.0,0.564705003,True
meanshift,unbalance,300.0,,False
meanshift,wdbc,300.0,0.564705003,False
meanshift,wine,300.0,0.564705003,True
meanshift,yeast,300.0,0.135883034,True
