algorithm,ARI,AMI,Purity,SS,CHS,DBS,NDBS,NCHS
acedec,0.650644799,0.652482894,0.870786517,0.264914063,75.55147881,1.40007826,0.41665308,0.978390858
aec,0.830784965,0.796529281,0.943820225,0.290914049,80.78783196,1.337719273,0.427767359,0.993083587
affinity,0.880399776,0.859473433,0.960674157,0.300091504,83.24219959,1.31735458,0.431526538,0.999653244
agglomerative,0.931000118,0.907670919,0.97752809,0.294829063,81.32763861,1.318311145,0.431348485,0.994545054
amddbscan,0.40845359,0.500190938,0.747191011,-0.063945123,9.912125283,1.50244254,0.399609575,0.557125091
autoclustering,0.865102734,0.817954167,0.95505618,0.279984675,76.71223988,1.338918922,0.427547954,0.981731668
bang,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
birch,0.931000118,0.907670919,0.97752809,0.294829063,81.32763861,1.318311145,0.431348485,0.994545054
bsas,0.287748098,0.396110284,0.662921348,0.056628581,19.47354397,1.888480606,0.346202775,0.689632339
clique,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
cure,0.471325159,0.555069472,0.668539326,0.241934045,33.49466173,1.180473123,0.458616063,0.802642521
dbscan,0.374841175,0.467989303,0.724719101,0.000184747,21.60288778,2.631375223,0.275377767,0.710893095
dcn,0.753781992,0.734496361,0.915730337,0.283837627,79.72960632,1.36743775,0.42239759,0.990190701
ddc,0.813793582,0.779398511,0.938202247,0.291008685,81.44556332,1.332761303,0.428676521,0.994863061
dec,0.914879596,0.89144761,0.971910112,0.300955061,83.25649806,1.310972649,0.432718233,0.999690961
deepect,0.457688861,0.588538804,0.646067416,0.296758441,76.02444502,1.242641478,0.445902749,0.979758109
diana,0.786550003,0.760742325,0.926966292,0.294221208,81.65178894,1.334592955,0.428340194,0.995418112
dipdeck,0.830784965,0.796529281,0.943820225,0.290914049,80.78783196,1.337719273,0.427767359,0.993083587
dipencoder,0.711570289,0.712506272,0.898876404,0.280198074,79.02429933,1.377606899,0.420590973,0.988241715
dipInit,0.82238298,0.812719832,0.938202247,0.295591617,81.36293531,1.311215928,0.432672684,0.994640286
dipMeans,0.868542549,0.851373971,0.95505618,0.301346327,83.37374751,1.305317989,0.433779637,1.0
dipNSub,0.848287,0.81854426,0.949438202,0.287760949,78.44804769,1.359055064,0.423898541,0.986636716
dkm,0.846638704,0.801619328,0.949438202,0.290201937,81.22029491,1.326351613,0.429857634,0.994255188
drc,0.422888448,0.520894656,0.696629213,0.231189976,41.63896047,3.042297382,0.247384075,0.849093214
gapStatistic,0.863598792,0.845672825,0.95505618,0.299813598,83.21561394,1.320167664,0.431003335,0.999583101
gmeans,0.914879596,0.89144761,0.971910112,0.300955061,83.25649806,1.310972649,0.432718233,0.999690961
hdbscan,0.366446745,0.445989859,0.691011236,0.177733494,33.2473053,2.822643855,0.26159905,0.801069962
idec,0.914879596,0.89144761,0.971910112,0.300955061,83.25649806,1.310972649,0.432718233,0.999690961
isbm,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
kmeans,0.853660284,0.840006838,0.949438202,0.300893852,83.35112751,1.30863958,0.43315553,0.999940413
ldakmeans,0.897542252,0.864753291,0.966292135,0.29939019,83.19471378,1.31132694,0.432651903,0.999527942
mbsas,0.254312462,0.366904185,0.657303371,0.016334132,18.70932744,2.376912454,0.296128494,0.681483666
mdbscan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
mddbscan,0.37155748,0.517000355,0.882022472,0.050217743,15.39049344,2.078105568,0.324875147,0.642207979
meanshift,0.809988432,0.781343602,0.97752809,0.218367359,26.975479,1.065143775,0.484227787,0.757009369
n2d,0.740403318,0.722229509,0.91011236,0.266880449,74.29616225,1.398827606,0.416870307,0.974721153
optics,0.704463813,0.70546091,0.898876404,0.228196431,60.41758256,1.506303364,0.398993998,0.929572989
pgmeans,0.459965407,0.575322552,0.651685393,-0.005478508,14.43461528,0.988251464,0.50295449,0.629495271
projectedDipMeans,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
rock,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
skinnydip,0.396841043,0.492424851,0.595505618,0.277202033,70.31755703,1.404219513,0.415935398,0.962678149
somsc,0.847223555,0.811913254,0.949438202,0.296244333,82.78350132,1.316987556,0.431594895,0.998439932
specialK,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
spectral,0.930872898,0.907796219,0.97752809,0.299875849,82.82837563,1.311621257,0.432596818,0.998558919
subkmeans,0.847096681,0.832908145,0.949438202,0.299708153,83.26428898,1.321049106,0.430839657,0.999711509
syncsom,0.424162068,0.515881907,0.668539326,0.109561609,13.34968076,1.400484494,0.41658257,0.614137833
ttsas,0.485205702,0.607591346,0.966292135,0.128881684,24.42521146,1.1977346,0.455013995,0.7362919
vade,0.62484183,0.592816985,0.859550562,0.241553228,65.51599537,1.478949774,0.403396636,0.947229128
xmeans,0.770656878,0.789296376,0.966292135,0.236930665,64.85898945,1.599725904,0.384655936,0.945030187
