n_boots,use_principal_components,use_log,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,True,True,0.12386028389940579,0.32234726014160864,0.3230769230769231,0.8150589425375813,14416.420061429626,0.5165746187394674,0.6593806777744775
5,True,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,False,True,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.35781016624198797,0.7364799769968586
5,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,True,True,0.604710178707164,0.7570881983032556,0.6307692307692307,0.6569503405164543,14002.590632120644,0.49013227545886795,0.6710813640299566
10,True,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,False,True,0.997633354952772,0.9833558320624656,0.9690769230769231,0.8211917702858356,45972.138855054654,0.41453192741192996,0.7069476344939276
10,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
15,True,True,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
15,True,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
15,False,True,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
15,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,True,True,1.0,1.0,1.0,0.8325457409165327,73547.55859802189,0.3578101662419879,0.7364799769968586
20,True,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,False,True,0.9988276318631844,0.9917760459573731,0.9846153846153847,0.8267720922258726,53133.8193846113,0.40241646797635794,0.7130549468254376
20,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
30,True,True,0.12386028389940579,0.32234726014160864,0.3230769230769231,0.8150589425375813,14416.420061429626,0.5165746187394674,0.6593806777744775
30,True,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
30,False,True,1.0,1.0,1.0,0.8325457409165327,73547.55859802186,0.3578101662419879,0.7364799769968586
30,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
