min_samples,xi,min_cluster_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,0.05,0.05,0.40492998057419716,0.792979160552364,0.7059986816084377,0.28276253798199813,0.8557127762444559,0.38758604385252815
5,0.05,0.1,0.28343321764834356,0.6629291873758754,0.32630191166776534,0.23554636543931196,0.9828982332797828,0.2944968813838458
5,0.1,0.05,0.5073532629530798,0.8434675702633506,0.7448912326961108,0.33541637695571475,0.8983994821970682,0.4050735088736229
5,0.1,0.1,0.3273103074528875,0.6797881591018097,0.32630191166776534,0.3294015729874248,0.9928297040995994,0.0
10,0.05,0.05,0.5393848637740137,0.857999529907003,0.7554383651944627,0.35215160466953677,0.9187232218666553,0.4112169999968991
10,0.05,0.1,0.21676318282294205,0.624303693206652,0.3249835201054713,0.21172345775926102,0.9820272265655364,0.44004473391648025
10,0.1,0.05,0.6190925696487716,0.8805090165942541,0.7587343441001978,0.40487069390704716,0.9670001856609819,0.41909433288893394
10,0.1,0.1,0.32650760857028643,0.6770384926443026,0.3249835201054713,0.3248378884759378,1.0,0.08547012598798931
15,0.05,0.05,0.5222521625049674,0.8510905025879603,0.7488464073829928,0.341424766601788,0.9156187204628787,0.40305253717338707
15,0.05,0.1,0.31434802846874016,0.6999192886476715,0.37969676994067236,0.24263965412502983,0.9844656393701953,0.3597521991023249
15,0.1,0.05,0.504532370701348,0.8415557996367967,0.7066578773895847,0.3461004824104492,0.9543324334008807,0.41234842643411496
15,0.1,0.1,0.21475103108249383,0.6226589330957728,0.3236651285431773,0.20989806848535444,0.9812731666061032,0.44272256378007957
