significance,pval_strategy,n_split_trials,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.0005,table,5,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.0005,table,10,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.0005,table,15,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.0005,table,20,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.0005,bootstrap,5,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.0005,bootstrap,10,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.0005,bootstrap,15,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.0005,bootstrap,20,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.001,table,5,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.001,table,10,0.6838207651433289,0.77839796469478,0.899188876013905,0.5316448279776311,0.9486566870932256,0.6100009842057081
0.001,table,15,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.001,table,20,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.001,bootstrap,5,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932256,0.6100009842057081
0.001,bootstrap,10,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.001,bootstrap,15,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.001,bootstrap,20,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.005,table,5,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.005,table,10,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.005,table,15,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.005,table,20,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.005,bootstrap,5,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.005,bootstrap,10,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.005,bootstrap,15,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932256,0.6100009842057081
0.005,bootstrap,20,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932256,0.6100009842057081
0.01,table,5,0.7102376285290956,0.8477238405978188,0.9942062572421785,0.5984596807253966,1.0,0.6410972001145879
0.01,table,10,0.7102376285290956,0.8477238405978186,0.9942062572421785,0.5984596807253966,1.0,0.6410972001145879
0.01,table,15,0.7102376285290956,0.8477238405978188,0.9942062572421785,0.5984596807253966,1.0,0.6410972001145879
0.01,table,20,0.7102376285290956,0.8477238405978188,0.9942062572421785,0.5984596807253966,1.0,0.6410972001145879
0.01,bootstrap,5,0.7102376285290956,0.8477238405978188,0.9942062572421785,0.5984596807253966,1.0,0.6410972001145879
0.01,bootstrap,10,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932256,0.6100009842057081
0.01,bootstrap,15,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,0.9486566870932257,0.6100009842057081
0.01,bootstrap,20,0.7102376285290956,0.8477238405978186,0.9942062572421785,0.5984596807253966,1.0,0.6410972001145879
